污染物,特征变量,有效自由度(EDF),p值,显著性(0.05)
PM2.5,日循环(Hour_Sin),1.0,0.0000e+00,***
PM2.5,日循环(Hour_Cos),0.999,0.0000e+00,***
PM2.5,季节趋势(DayOfYear),0.999,0.0000e+00,***
PM2.5,周末效应(Weekday),1.0,2.6806e-02,*
PM2.5,温度(Temp),1.0,0.0000e+00,***
PM2.5,湿度(Hum),0.755,0.0000e+00,***
PM2.5,温湿协同交互(Te),1.0,0.0000e+00,***
PM10,日循环(Hour_Sin),1.0,0.0000e+00,***
PM10,日循环(Hour_Cos),0.999,0.0000e+00,***
PM10,季节趋势(DayOfYear),0.999,0.0000e+00,***
PM10,周末效应(Weekday),1.0,5.4932e-08,***
PM10,温度(Temp),1.0,0.0000e+00,***
PM10,湿度(Hum),0.859,0.0000e+00,***
PM10,温湿协同交互(Te),1.0,0.0000e+00,***
O3,日循环(Hour_Sin),1.0,0.0000e+00,***
O3,日循环(Hour_Cos),0.999,0.0000e+00,***
O3,季节趋势(DayOfYear),0.999,0.0000e+00,***
O3,周末效应(Weekday),1.0,8.5791e-06,***
O3,温度(Temp),1.0,0.0000e+00,***
O3,湿度(Hum),0.802,0.0000e+00,***
O3,温湿协同交互(Te),1.0,0.0000e+00,***
NO2,日循环(Hour_Sin),0.999,2.0240e-05,***
NO2,日循环(Hour_Cos),0.995,2.7268e-12,***
NO2,季节趋势(DayOfYear),0.997,0.0000e+00,***
NO2,周末效应(Weekday),1.0,0.0000e+00,***
NO2,温度(Temp),1.0,0.0000e+00,***
NO2,湿度(Hum),0.738,0.0000e+00,***
NO2,温湿协同交互(Te),1.0,0.0000e+00,***
SO2,日循环(Hour_Sin),1.0,0.0000e+00,***
SO2,日循环(Hour_Cos),0.999,0.0000e+00,***
SO2,季节趋势(DayOfYear),0.999,0.0000e+00,***
SO2,周末效应(Weekday),1.0,2.0011e-02,*
SO2,温度(Temp),1.0,0.0000e+00,***
SO2,湿度(Hum),0.777,0.0000e+00,***
SO2,温湿协同交互(Te),1.0,0.0000e+00,***
CO,日循环(Hour_Sin),1.0,0.0000e+00,***
CO,日循环(Hour_Cos),0.999,0.0000e+00,***
CO,季节趋势(DayOfYear),0.999,0.0000e+00,***
CO,周末效应(Weekday),1.0,3.1048e-07,***
CO,温度(Temp),1.0,0.0000e+00,***
CO,湿度(Hum),0.802,0.0000e+00,***
CO,温湿协同交互(Te),1.0,0.0000e+00,***
