datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO,O3_8h,AQI,Primary
2026-03-01 00:00:00,13.2,54,1.5,73.12,105.54,38.626666666666665,71.17333333333333,3.0,0.0009533333333333334,44.82833333333333,98,PM2.5
2026-03-01 01:00:00,12.8,56,0.5,42.12,64.53333333333333,78.62666666666667,39.17333333333333,2.0,0.00039733333333333336,47.031666666666666,59,PM2.5
2026-03-01 02:00:00,12.4,58,1.0,41.0,63.0,79.0,38.0,2.0,0.0004146666666666667,50.406666666666666,58,PM2.5
2026-03-01 03:00:00,12.0,60,0.7,39.0,60.0,81.0,36.0,2.0,0.0003899999999999997,54.781666666666666,55,PM2.5
2026-03-01 04:00:00,11.7,61,4.5,36.43333333333333,57.0,83.0,34.0,2.0,0.0003066666666666666,59.781666666666666,54,PM10
2026-03-01 05:00:00,11.9,60,2.4,35.7,54.126666666666665,84.0,32.11333333333334,2.0,0.0003066666666666666,65.15666666666667,52,PM10
2026-03-01 06:00:00,12.3,58,0.7,38.233333333333334,59.17333333333333,81.0,34.12,2.0,0.00030399999999999996,70.40666666666667,55,PM10
2026-03-01 07:00:00,13.0,55,0.3,39.72666666666667,62.36666666666667,80.04,35.2,2.0,0.000354,75.66166666666666,56,PM10
2026-03-01 08:00:00,13.8,52,2.2,42.96,67.61333333333333,75.04,38.76,2.0,0.00036799999999999995,80.21333333333334,60,PM2.5
2026-03-01 09:00:00,14.7,49,0.4,47.00666666666667,73.64,69.03333333333333,42.17333333333333,2.0,0.00046866666666666666,79.01416666666667,65,PM2.5
2026-03-01 10:00:00,15.6,46,0.6,51.20666666666666,81.64,65.0,46.0,2.0,0.0004000000000000003,77.26416666666667,70,PM2.5
2026-03-01 11:00:00,16.3,43,1.5,56.21333333333333,89.64,58.0,51.0,3.0,0.0005000000000000002,74.38916666666667,77,PM2.5
2026-03-01 12:00:00,16.8,41,2.2,61.04666666666667,97.26,52.0,56.0,3.0,0.0006000000000000003,70.51416666666667,83,PM2.5
2026-03-01 13:00:00,17.0,40,2.2,65.04666666666667,104.26,47.0,60.0,3.0,0.0006000000000000003,65.88916666666667,88,PM2.5
2026-03-01 14:00:00,17.1,39,4.7,68.1,109.26,44.0,63.0,3.0,0.0007000000000000003,61.26416666666667,91,PM2.5
2026-03-01 15:00:00,16.9,40,4.0,69.88,111.40666666666667,40.03333333333333,65.76,3.0,0.000756,56.263333333333335,94,PM2.5
2026-03-01 16:00:00,16.4,42,3.5,69.86,109.59333333333333,36.986666666666665,67.0,3.0,0.000756,51.50666666666667,94,PM2.5
2026-03-01 17:00:00,15.5,46,3.5,69.72666666666666,108.48,37.42666666666667,67.0,3.0,0.0006886666666666666,47.55583333333333,93,PM2.5
2026-03-01 18:00:00,14.2,51,1.8,64.16,100.9,41.06666666666666,62.093333333333334,3.0,0.0005886666666666666,44.564166666666665,86,PM2.5
2026-03-01 19:00:00,12.7,57,1.9,58.873333333333335,92.26666666666667,50.77333333333333,56.0,3.0,0.0006659999999999999,43.66083333333333,80,PM2.5
2026-03-01 20:00:00,11.3,63,2.6,50.86,79.63333333333334,60.053333333333335,48.0,2.0,0.000508,44.6675,70,PM2.5
2026-03-01 21:00:00,10.2,68,0.2,46.08,73.1,68.01333333333334,43.0,2.0,0.000548,47.29416666666667,64,PM2.5
2026-03-01 22:00:00,9.3,72,0.6,42.98,67.84666666666666,73.02,40.0,2.0,0.00040533333333333334,50.92166666666667,60,PM2.5
2026-03-01 23:00:00,8.7,75,0.3,40.81333333333333,63.846666666666664,77.00666666666666,38.0,2.0,0.000456,55.54333333333334,57,PM2.5
2026-03-02 00:00:00,8.2,77,3.8,39.89333333333333,61.96,79.00666666666666,37.0,2.0,0.00030466666666666663,60.795833333333334,56,PM2.5
2026-03-02 01:00:00,7.8,79,6.9,38.98,59.96,81.00666666666666,36.0,2.0,0.0003799999999999999,66.24333333333333,55,PM10
2026-03-02 02:00:00,7.5,81,6.0,38.08,57.94,83.00666666666666,34.0,2.0,0.0003193333333333333,71.48583333333333,54,PM10
2026-03-02 03:00:00,7.3,82,3.5,36.6,56.08,85.0,33.0,2.0,0.00037133333333333316,75.76416666666667,53,PM10
2026-03-02 04:00:00,7.4,81,2.7,36.72666666666667,56.27333333333333,85.0,33.0,2.0,0.00032266666666666663,78.8825,53,PM10
2026-03-02 05:00:00,7.8,79,3.9,36.766666666666666,55.14666666666667,83.0,33.14666666666667,2.0,0.000316,80.75583333333333,53,PM10
2026-03-02 06:00:00,8.5,76,0.8,38.766666666666666,58.14666666666667,80.0,35.14666666666667,2.0,0.00041600000000000003,81.62833333333333,55,PM2.5
2026-03-02 07:00:00,9.6,71,0.4,41.76,63.14666666666667,75.0,38.14666666666667,2.0,0.000422,81.3775,58,PM2.5
